date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:55	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2022:54:35%20GMT	https://themes.pixelstrap.net/robots.txt		(from )
23:53:55	166101/166101	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2006:16:57%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/index.html	(from )
23:53:56	1679/1679	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Mar%202024%2003:55:15%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/images/logo/favicon.png	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/images/logo/favicon.png	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:57	16469/16469	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2005:31:38%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/swiper-bundle.min.css	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/swiper-bundle.min.css	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:57	285112/285112	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2005:31:38%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:59	147460/147460	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2005:31:38%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/remixicon.css	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/css/vendors/remixicon.css	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:59	166101/166101	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2006:16:57%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/index.html	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/index-2.html	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:59	425172/425172	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2010:42:39%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/css/style.css	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/css/style.css	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:53:59	1451/1451	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Apr%202024%2005:15:04%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/assets/images/svg/logo.svg	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/assets/images/svg/logo.svg	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
23:54:00	41187/41187	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2012:47:44%20GMT	https://themes.pixelstrap.net/zomo/landing/frontend/contact.html	C:/My%20Web%20Sites/food/themes.pixelstrap.net/zomo/landing/frontend/contact.html	(from https://themes.pixelstrap.net/zomo/landing/frontend/)
